sIP,dIP,sPort,dPort,protocol,packets,bytes,flags,sTime,duration,eTime,sensor,in,out,nhIP,initialFlags,sessionFlags,attributes,application,class,type,sTime+msec,eTime+msec,dur+msec,iType,iCode,scc,dcc
23.235.46.162,192.168.1.11,443,57940,6,1,52,FA,2015/10/22T03:47:04.192,0.000,2015/10/22T03:47:04.192,S0,0,0,0.0.0.0,FA,,,0,all,inweb,2015/10/22T03:47:04.192,2015/10/22T03:47:04.192,0.000,,,us,--
23.235.46.162,192.168.1.11,443,57942,6,7,11057,SPA,2015/10/22T03:47:04.135,0.059,2015/10/22T03:47:04.194,S0,0,0,0.0.0.0,SA,PA,,443,all,inweb,2015/10/22T03:47:04.135,2015/10/22T03:47:04.194,0.059,,,us,--
23.235.46.162,192.168.1.11,443,57942,6,1,52,FA,2015/10/22T03:47:04.194,0.000,2015/10/22T03:47:04.194,S0,0,0,0.0.0.0,FA,,,0,all,inweb,2015/10/22T03:47:04.194,2015/10/22T03:47:04.194,0.000,,,us,--
23.235.46.162,192.168.1.11,443,57939,6,14,25588,SPA,2015/10/22T03:47:04.106,0.091,2015/10/22T03:47:04.197,S0,0,0,0.0.0.0,SA,PA,,443,all,inweb,2015/10/22T03:47:04.106,2015/10/22T03:47:04.197,0.091,,,us,--
23.235.46.162,192.168.1.11,443,57939,6,1,52,FA,2015/10/22T03:47:04.198,0.000,2015/10/22T03:47:04.198,S0,0,0,0.0.0.0,FA,,,0,all,inweb,2015/10/22T03:47:04.198,2015/10/22T03:47:04.198,0.000,,,us,--
23.235.46.162,192.168.1.11,443,57944,6,7,6035,SPA,2015/10/22T03:47:04.261,0.060,2015/10/22T03:47:04.321,S0,0,0,0.0.0.0,SA,PA,,443,all,inweb,2015/10/22T03:47:04.261,2015/10/22T03:47:04.321,0.060,,,us,--
23.235.46.162,192.168.1.11,443,57944,6,1,52,FA,2015/10/22T03:47:04.321,0.000,2015/10/22T03:47:04.321,S0,0,0,0.0.0.0,FA,,,0,all,inweb,2015/10/22T03:47:04.321,2015/10/22T03:47:04.321,0.000,,,us,--
23.235.46.162,192.168.1.11,443,57945,6,5,6024,SPA,2015/10/22T03:47:04.272,0.059,2015/10/22T03:47:04.331,S0,0,0,0.0.0.0,SA,PA,,443,all,inweb,2015/10/22T03:47:04.272,2015/10/22T03:47:04.331,0.059,,,us,--
23.235.46.162,192.168.1.11,443,57945,6,1,52,FA,2015/10/22T03:47:04.331,0.000,2015/10/22T03:47:04.331,S0,0,0,0.0.0.0,FA,,,0,all,inweb,2015/10/22T03:47:04.331,2015/10/22T03:47:04.331,0.000,,,us,--
23.235.46.162,192.168.1.11,443,57946,6,8,6001,SPA,2015/10/22T03:47:04.279,0.054,2015/10/22T03:47:04.333,S0,0,0,0.0.0.0,SA,PA,,443,all,inweb,2015/10/22T03:47:04.279,2015/10/22T03:47:04.333,0.054,,,us,--
23.235.46.162,192.168.1.11,443,57946,6,1,52,FA,2015/10/22T03:47:04.333,0.000,2015/10/22T03:47:04.333,S0,0,0,0.0.0.0,FA,,,0,all,inweb,2015/10/22T03:47:04.333,2015/10/22T03:47:04.333,0.000,,,us,--
23.235.46.162,192.168.1.11,443,57943,6,21,42007,SPA,2015/10/22T03:47:04.250,0.091,2015/10/22T03:47:04.341,S0,0,0,0.0.0.0,SA,PA,,443,all,inweb,2015/10/22T03:47:04.250,2015/10/22T03:47:04.341,0.091,,,us,--
23.235.46.162,192.168.1.11,443,57943,6,1,52,FA,2015/10/22T03:47:04.341,0.000,2015/10/22T03:47:04.341,S0,0,0,0.0.0.0,FA,,,0,all,inweb,2015/10/22T03:47:04.341,2015/10/22T03:47:04.341,0.000,,,us,--
23.235.46.162,192.168.1.11,443,57947,6,8,7112,SPA,2015/10/22T03:47:04.284,0.057,2015/10/22T03:47:04.341,S0,0,0,0.0.0.0,SA,PA,,443,all,inweb,2015/10/22T03:47:04.284,2015/10/22T03:47:04.341,0.057,,,us,--
23.235.46.162,192.168.1.11,443,57947,6,1,52,FA,2015/10/22T03:47:04.341,0.000,2015/10/22T03:47:04.341,S0,0,0,0.0.0.0,FA,,,0,all,inweb,2015/10/22T03:47:04.341,2015/10/22T03:47:04.341,0.000,,,us,--
